53:     "DANIEL: Dum thesauros quaerebamus,\n"
54:     "TRAHITOREM invenimus!$"
57:     "DANIEL: Non quiimus vincere quamquam\n"
58:     "coniunctim operati sumus…$"
61:     "DANIEL: Non quimus thesauros invenire…\n"
62:     "Me rogo an aliqui eos iam captavit?$"
65:     "DANIEL: Ne dua POKéMON quidem habes.\n"
66:     "Sic nos non superare potes.$"
69:     "CHIRA: Oh?\n"
70:     "Ad thesauros quaerebamus.\l"
71:     "Sed in loco TRAHITOREM invenimus!$"
74:     "CHIRA: Ooh, tam validus!$"
77:     "CHIRA: Ubi possit thesaurus esse?\p"
78:     "Iam consilium feci de eo quod emptura\n"
79:     "sum quando thesauros invenerimus!$"
82:     "CHIRA: Oh, num habes dua POKéMON?\n"
83:     "Nobis alio tempore certandum est!$"
86:     "CHIRA: Oh, tibi tam irascor!\n"
87:     "Tibi ideo in registro inscribam!$"
90:     "DANIEL: Hoc tempus totum iam\n"
91:     "thesauros quaerimos.\p"
92:     "POKéMON nostra firmata sunt, quoque.\n"
93:     "Praebeamusne tibi, bene?$"
96:     "DANIEL: Validus es, ut solet!$"
99:     "DANIEL: Non possumus thesauros\n"
100:   "invenire, in POKéMON vincimur…\p"
101:   "Volo domum ire… Sed si id dicam,\n"
102:   "illa mihi valde irascetur…$"
105:   "DANIEL: Ne dua POKéMON quidem habes.\n"
106:   "Non potes sperare te nos sic vincere.$"
109:   "KIRA: Oh? Iterum convenimus!\p"
110:   "Sicut nos, etiam nunc non thesauros\n"
111:   "quaerere destitisti, nonne?\p"
112:   "Visne habere ut ei, qui victus sit,\n"
113:   "quaerere desistendum sit?$"
116:   "KIRA: Oh, iterum victi sumus…$"
119:   "KIRA: Non egrediemur donec POKéMON\n"
120:   "nostra aliquantulum magis alemus ac\l"
121:   "hic thesaurus inveniemus!$"
124:   "KIRA: Oh, num POKéMON dua habes?\n"
125:   "Nobis alio tempore certandum est!$"
128:   "In natando non sum perita,\n"
129:   "sed in certaminibus sum!$"
132:   "Oops.\n"
133:   "Non bene evenit.$"
136:   "Pedibus nudis circiter in nave hac\n"
137:   "gredi quasi turpe est.$"
140:   "Vires et misericordia…\n"
141:   "Ea sunt TRAHITORIS thesauri!$"
144:   "Ah, aliquid est circum te quid mihi\n"
145:   "scintillare videtur.$"
148:   "In diaeta alicubi apud navem,\n"
149:   "aliquod scintillare vidi.$"
