55:    "Aliquid eventurum est,\n"
56:    "et non mihi placet!\p"
57:    "Personas ombrosas vidi vagantes\n"
58:    "in exque PROF. COZMI domo…$"
61:    "Provincia haec ob meteora ab diebus\n"
62:    "antiquis nota est.\p"
63:    "Dicunt CATARACTAM METEORI a meteoro\n"
64:    "cadente iampridem excavatam fuisse.$"
67:    "Vide! Habe aspectum!\n"
68:    "Hoc AZURILL meum pretiosum!\p"
69:    "Est nitidum et levigatum et molle, etiam!$"
72:    "AZURILL: Rooreelooo.$"
75:    "Iamne FLAMMINERAM provocasti,\n"
76:    "RECTRICEM LAVAERIGII GYMNIS?\p"
77:    "Puellae avus celeber erat.\n"
78:    "Unus ex QUATTOUR ELECTI in LIGA\l"
79:    "POKéMON uno puncto temporis fuit.\p"
80:    "Mihi non admirationem movet videre\n"
81:    "FLAMMINERAM TRAHITRICEM magnam fieri\l"
82:    "per meritum proprium.$"
85:    "TABERNACULUM MARTIUM CASTANEIS SITUM\n"
86:    "“Ut Manus Optimas Congrediantur!”$"
89:    "OPPIDUM CASTANEAE\n"
90:    "“Communitas aratorum cum hortis parvis.”$"
93:    "DOMUS MOTUUM EDUCATORIS\n"
94:    "“Motus novi ad POKéMON docti.”$"
