537:  "Vis in METEORO contenta…\p"
538:  "Per amplificandam hac machina vim eius,\n"
539:  "MONTIS CAMINI motuum volcaniorum\l"
540:  "intensitatem statim acriorem reddet…\p"
541:  "Vehementia sua in alta profunditate\n"
542:  "crateris cretura est atque…\l"
543:  "Fufufu…$"
546:  "MAGXIMUS: Hm?\n"
547:  "Quis es?\p"
548:  "… … … … … …\n"
549:  "… … … … … …\p"
550:  "Audivi ARTHUREM puerum ingemiscentem\n"
551:  "qui in negotiis ORDINIS AQUAE se\l"
552:  "intermiscuit.\p"
553:  "Sine dubio te significavit.\p"
554:  "Humph! Itaque de intermiscendum te\n"
555:  "nobiscum, ORDINE MAGMAE, putas?\p"
556:  "Nunc exaude.\n"
557:  "Pridem, res vivae terra ad vivendum\l"
558:  "et crescendum usae sunt.\p"
559:  "Ideo terra tanti momenti est!\n"
560:  "Cunae est omnium!\p"
561:  "Ea est causa cur ORDO MAGMAE ad\n"
562:  "expansionem molis terrae dedita est.\p"
563:  "Pro ampliore incremento gentis humanae\n"
564:  "et POKéMON est!\p"
565:  "Et ad id, nobis vis eius, quod intra\n"
566:  "montem hunc dormit, necesse est…\p"
567:  "Oh! Nulla erat causa te istum tantum\n"
568:  "discere.\p"
569:  "Tamen, nihil refert!\n"
570:  "Tibi consequentias tui interponendi\l"
571:  "in descriptione nostra grandi docebo!$"
574:  "Quid?!\p"
575:  "Ego, MAGXIMUS, incautus inventus sum?!$"
578:  "MAGXIMUS: Sed, satis est.\n"
579:  "Regrediar hoc tempore.\p"
580:  "Tamen noli putare hoc ultimum esse\n"
581:  "te ORDINIS MAGMAE videre.\p"
582:  "Fufufu…\p"
583:  "Etiam METEORUM carrens, si SPHAERAM\n"
584:  "obtinebimus… Fufufu…$"
587:  "Hehehe!\p"
588:  "Itaque viam huc totam fecisti!\p"
589:  "At serior es!\n"
590:  "Iamiam METEORUM de CATARACTA METEORI\l"
591:  "ad MAGISTRUM protuli!$"
594:  "Hehehe…\p"
595:  "Etiamsi victus sum, si rector noster\n"
596:  "rem illam expergefaciat…$"
599:  "MAGISTER, festina!\n"
600:  "Da ei vim METEORI!\p"
601:  "Hehehe…$"
604:  "Nos ORDINIS MAGMAE pro causa omnium\n"
605:  "laboramus.\p"
606:  "Velut, si potentia illius rei plus terram\n"
607:  "fecerit, fuerit plus locum ad vivendum.\p"
608:  "Omnes gavisi sunt!$"
611:  "Hunh?\n"
612:  "Quid vis dicere, me victum esse?$"
615:  "MAGISTER noster dicit, “Omnibus\n"
616:  "placebit.”\p"
617:  "At cur obstant semper omnes viam\n"
618:  "nostram?$"
621:  "Si plus terra esset, possem domum\n"
622:  "propriam meam magnam accipere!\p"
623:  "Super lava indurata construam!$"
626:  "Somnium meum domus magnae…$"
629:  "Puer sicut tu, aquam manibus in undis\n"
630:  "ludendo agitare debet!$"
633:  "ORDO AQUAE molesta illa…\n"
634:  "Semper proposita nostra perturbat!$"
637:  "METEORA vi mirabili composita sunt!$"
640:  "Melius tibi si nos non perturbes!\p"
