1025: "SOCIETAS DEVON…\n"
1026: "Nos omnes id in DEVON contrahimus.\p"
1027: "Societas illa omnia genera rerum\n"
1028: "commodarum fabricat.$"
1031: "Hm? Vir specie umbrosa?\p"
1032: "Nunc cum de re putem, ita, vir specie\n"
1033: "umbrosa circum angulum gressus est.$"
1036: "Probationem GYMNIS POKéMON\n"
1037: "accepisti?\p"
1038: "Quando INSIGNE GYMNIS lucidum in manu\n"
1039: "tenebis coniecto TRAHITORES incipere\l"
1040: "intelligere quod eis opus sit.$"
1043: "Heus, INSIGNE GYMNIS FERRIDUNI est!\p"
1044: "Ex INSIGNIBUS GYMNIS POKéMON omnibus,\n"
1045: "FERRIDUNI optimum esse dicam.$"
1048: "Oh? Sed quis sis?\n"
1049: "Vultus novus in partibus his es.\p"
1050: "Modo in SCHOLAM POKéMON TRAHITORUM\n"
1051: "translatus es?$"
1054: "GYMNIS RECTOREM provocavi, sed…\p"
1055: "POKéMON meis typi IGNIS vincere \n"
1056: "non facile erit…\p"
1057: "POKéMON typi IGNIS non bene cum\n"
1058: "POKéMON typi LAPIDIS aequant…$"
1061: "Nauta vetus, DOM. MURINAEUS, in\n"
1062: "tugurio apud mare vivit.\p"
1063: "It interdum, vel frequenter, in\n"
1064: "cuniculo gradi.$"
1067: "Nauta vetus, DOM. MURINAEUS, in\n"
1068: "tugurio apud mare vivit.\p"
1069: "Dixit se obsonaturum in PORTU SAXEO\n"
1070: "ire pro pecuscula sua, PEECA.\p"
1071: "Canis maris senex ille, PEECAM\n"
1072: "illam valde amat.$"
1075: "Uau, etiam POKéMON tecum habes.\p"
1076: "Quando crescam, ibo etiam ego ad locos\n"
1077: "omnes cum POKéMON meis.$"
1080: "SCHOLA POKéMON TRAHITORUM!\p"
1081: "Si ad hanc scholam ibo, poterone\n"
1082: "POKéMON raros faciliter capere?$"
1085: "Si POKéMON peritiam in certaminibus\n"
1086: "meretur, nonnumquam speciem suam\l"
1087: "mutare poterit.$"
1090: "POKéMON formam mutat?\n"
1091: "Si aliquid hoc faciat, valde mirer!$"
1094: "POKéMON, quod per commutandum ab\n"
1095: "aliquo accipis, celeriter crescit.\p"
1096: "Si autem non GYMNUM INSIGNIA certa\n"
1097: "habes, potest fieri, ut tibi non audiat…$"
1100: "Fac locum!\n"
1101: "Discede de via mea!$"
1104: "Mane! Peetttooooo!\p"
1105: "Noli MERCES meas capere!$"
1108: "Oh, tu es!\p"
1109: "Es TRAHITOR strenuus ille, qui\n"
1110: "me in SILVA FLORIBURGI adiuvit!\p"
1111: "Adiuva me! Ab ORDINE AQUA furatus sum!\n"
1112: "MERCES DEVON recipere debeo!\p"
1113: "Quodsi non faciam…\n"
1114: "In tribulationes graves incidam.$"
1117: "Personam umbrosam illam, puto eum\n"
1118: "ad cuniculum illic effugere.$"
1121: "Oh! Quomodo fuit?\n"
1122: "MERCES DEVON?\p"
1123: "Fecisti!\n"
1124: "Eas mihi recepisti!\p"
1125: "Vere magnus TRAHITOR es!\p"
1126: "Scio! Ob gratiam meam, tibi aliam\n"
1127: "MEGA PILAM dabo!$"
1130: "Rebus onustus es.\n"
1131: "Tibi hanc MEGA PILAM non dare possum.$"
1134: "Da veniam, peto!\n"
1135: "Peto, veni mecum!$"
1138: "MAIA: Oh, salve, {PLAYER}{KUN}!\p"
1139: "Usus VOCATIO COETUS tibi ad\n"
1140: "POKéNAV tuum additus est!\p"
1141: "Inscibamus nos invicem, ut possimus\n"
1142: "in tactu manere!\p"
1143: "… … … … … …$"
1146: "MAIA in registro POKéNAVIS\n"
1147: "inscripta est.$"
