201:   "DOM. PETRAEUS sum, PRAEFECTUS\n"
202:   "SOCIETATIS DEVON.\p"
203:   "Modo de te verbum recipi!\p"
204:   "Officium nostrum nec solum semel, sed\n"
205:   "bis salvasti!\p"
206:   "Veniam ab viro tam mirabili quam te,\n"
207:   "petendum habeo.\p"
208:   "Intellego te ad NAVALE PORTUS SAXEI\n"
209:   "fasciculum transportare.\p"
210:   "Bene, in itinere, possisne in CASTRO\n"
211:   "AQUARUM subsistere?\p"
212:   "Sperabam te epistulam ad AURELIUM\n"
213:   "in CASTO AQUARUM transportare.$"
216:   "DOM. PETRAEUS: Nunc, debes scire me\n"
217:   "PRAEFECTUS magnus esse.\p"
218:   "Igitur, numquam tam avarus essem, ut\n"
219:   "tibi veniam peteret nihil retribuens.\p"
220:   "Hoc ratio est qua te hoc habere volo!$"
223:   "{PLAYER} POKéNAV accepit.$"
226:   "DOM. PETRAEUS: Machina ista…\p"
227:   "POKéMON NAVIGATOR est, vel POKéNAV\n"
228:   "abbreviando.\p"
229:   "Est instrumentum maximi necessitatis\n"
230:   "pro TRAHITORE quoquam in ambage.\p"
231:   "Tabulam provinciae HOENN habet.\p"
232:   "Potes facillime locos CASTRI AQUARUM\n"
233:   "et PORTI SAXEUM spicere!\p"
234:   "Obiter, audivi malefactores\n"
235:   "sinistros--MAGMA et AQUA, credo--per\l"
236:   "provinciam totam molestias facere.\p"
237:   "Puto tibi optimum esse si paulum\n"
238:   "antequam egrediaris quiescas.$"
241:   "DOM. PETRAEUS: Bene, {PLAYER}{KUN}, nunc,\n"
242:   "vade cum cautione et diligentia!$"
245:   "DOM. PETRAEUS: Te freto!$"
248:   "DOM: PETRAEUS: EPISTULAM attulisti?\n"
249:   "Benigne tibi gratias ago!\p"
250:   "Hoc modus meus gratiarum agendarum.\n"
251:   "Te, TRAHITOREM, certe adiuvabit.$"
254:   "DOM. PETRAEUS: POKéMON DIVISOREM\n"
255:   "PERITIAE istum habens nonnulla ex\l"
256:   "Punctis PER certaminum meretur.\p"
257:   "Puncta PER meretur etiamsi revera non\n"
258:   "certavit.\p"
259:   "Dicerem DIVISOREM PERITIAE per utilem\n"
260:   "ad educanda POKéMON infirma esse.$"
263:   "DOM. PETRAEUS: Ab adulescentia mea,\n"
264:   "memet in opere meo mergo.\p"
265:   "Consequenter, mihi novitates vel genus\n"
266:   "huius rerum non familiaria sunt.\p"
267:   "Sed voluntne iuvenes omnes\n"
268:   "TRAHITORES in LIGA POKéMON esse?$"
271:   "Hoc est SOCIETATIS DEVON\n"
272:   "tabulato tertio.\p"
273:   "SCRIPTORIUM PRAEFECTI nostri in\n"
274:   "tabulato hoc situm est.\p"
275:   "At utcumque sit, non tibi dicere possum\n"
276:   "quam gratus sim ob id, quod fecisti.\p"
277:   "Um… De proposito, fasciculum istum,\n"
278:   "quem pro nobis reduxisti…\p"
279:   "Licet mihi tibi cogere, ut istum ad\n"
280:   "NAVALE in PORTU SAXEO transportares?\p"
281:   "Terribile esset si malefactores illi\n"
282:   "id iterum capere conarentur.\p"
283:   "Uh… Hehehe, tunc, uh, possumne fidere,\n"
284:   "te hoc pro me facere?\p"
285:   "O, rectum.\n"
286:   "Potesne hic unum momentum manere?$"
289:   "PRAEFECTUS noster verbum tecum\n"
290:   "habere vult.\p"
291:   "Quaeso, venias cum me.$"
294:   "Peto, procede.$"
297:   "Si ad NAVALE in PORTU SAXEO adeas,\n"
298:   "tibi NAUAR. PUPPIUM visitandum est.$"
301:   "Opera nova DEVON, REPETITIO PILA\n"
302:   "et CHRONO PILA, celeberrima cum\l"
303:   "TRAIHITORIBUS facta sunt.$"
306:   "Collectio lapidum rarorum et petrarum\n"
307:   "a PRAEFECTO collectarum est.$"
