67:   "Tata mihi dixit.\p"
68:   "Dicit cuniculum hunc POKéMON timida\n"
69:   "impletum esse.\p"
70:   "Omnia sonis ingentibus perterrentur et\n"
71:   "tumultum magnum faciunt.\p"
72:   "Itaque erat necesse magnum cuniculi\n"
73:   "struendi propositum recipere.\p"
74:   "Sed vir unus est. Per se ipsum\n"
75:   "cuniculum fodere conatur!$"
78:   "Vir erat, qui cuniculum pro femina\n"
79:   "eo amata fodit.\p"
80:   "Non vere capio, atqui!$"
83:   "Modo venti flandi, cineres volcanii\n"
84:   "numquam in directione hac flantur.\p"
85:   "Aer hic purus et saporus est.\n"
86:   "Vivere hic miracula etiam pro\l"
87:   "viribus fragilibus aegrisque faciet.$"
90:   "Cum POKéMON meis vehor aliquantisper\n"
91:   "apud seriem victoriarum callidarum.\p"
92:   "Itaque statui initium meum TABERNACULI\n"
93:   "MARTIS in oppido hoc facere.$"
96:   "Vidistine cavernam iuxta APOTHECAM\n"
97:   "POKéMON?\p"
98:   "Vir illuc in ea est qui saxa dirumpere\n"
99:   "conatur ut usque ad latus alterum\l"
100:  "perrumpere possit.\p"
101:  "Magnum esset si transgredi potuissemus…\n"
102:  "Fiet ut facile sit FERRIBORUM visitare.$"
105:  "Caverna iuxta APOTHECAM POKéMON nunc\n"
106:  "cuniculus ducens ad latus alterum est.\p"
107:  "Ire in tabernam ob producta DEVON nova\n"
108:  "in FERRIBORO nunc facile est.$"
111:  "OPPIDUM VIRIDINEMORIS\p"
112:  "“Loci montuosi vento versi ac dulcibus\n"
113:  "odoribus graminum impleti.”$"
116:  "DOMUS VALIAE$"
119:  "STATIO TABERNACULI MARTIS VIRIDINEMORIS\n"
120:  "“Epulare oculis tuis apud Certamina!”$"
123:  "CUNICULUM VIRIDINEMORIS\n"
124:  "“Coniungentem FERRIBORUM et VIRIDINEMUS\p"
125:  "“Propositum cuniculi est\n"
126:  "cancellatum.”$"
