95:     "Heus, salve, TRAHITOR!\n"
96:     "Mirabilem habes ibi subrisum.\p"
97:     "Voluptatem habeo--TRAHITORUM\n"
98:     "POKéMON epitomarum colligendarum.$"
101:   "Itaque, quid de eo?\n"
102:   "Licetne mihi epitomen tuam inspicere?$"
105:   "Epitomen tuam propriam quattuor facis\n"
106:   "verbis vel sententiis componendis.\p"
107:   "Ecce, ego tibi exemplum ostendam\n"
108:   "epitomes quattuor utens segmentis.\p"
109:   "Segmenta hac quattuor commutare potes\n"
110:   "aliis sententiis utcumque tibi placeat\l"
111:   "epitomen tuam componere.\p"
112:   "Multa sunt, ut vides, segmenta verborum\n"
113:   "quibus uti potes.\p"
114:   "Sunt in classes distributa sicut\n"
115:   "POKéMON, dietae, voluptatesque ut\l"
116:   "facilius erit exquirere.\p"
117:   "Itaque, primum, delige classem verborum\n"
118:   "ad indicem optionum ostendendam.\p"
119:   "Deinde, selige quod tibi placet.\p"
120:   "Iterato pro optionibus segmentorum\n"
121:   "reliquis et propriam habebis epitomen.$"
124:   "Sic! Gratias tibi ago!\n"
125:   "Bene, videamus igitur.$"
128:   "Oh, non, ain tandem?\p"
129:   "Arbitrabar aliquem sicut te mirabilem\n"
130:   "habere epitomen…$"
133:   "Oh? Num tibi nunc nulli est eius studii?\p"
134:   "Bene, quandocumque mihi !$"
137:   "Heus tu, TRAHITOR!\n"
138:   "Mirabilem habes subrisum.$"
141:   "Licet mihi epitomen tuam novam videre?$"
144:   "Ita! Gratias ago tibi!\p"
145:   "Spero etiam meliorem esse epitome quam\n"
146:   "antea mihi ostendisti.$"
149:   "Oh, tibi epitome placet sicut sit.\p"
150:   "Minime te improbo--mirabilis est\n"
151:   "epitome sicut nunc est.$"
154:   "Ad-admirabilis!\p"
155:   "Epitome tua, mirabilis est!\n"
156:   "Vero dicit de quibus sis.\p"
157:   "Quisquam enimvero epitomen audiens\n"
158:   "hanc a te captus erit!\p"
159:   "Gratias tibi!$"
163:   "Oh?\n"
164:   "Orationem secretam novisti!\p"
165:   "Haec significat te nunc socium esse\n"
166:   "MYSTICORUM EVENTUUM CIRCULI!$"
