2:       "Quid est hoc?\n"
3:       "Quid facio?\p"
4:       "Cogito deponere cubiculum meum hic\n"
5:       "POKéMON motu utens.\p"
6:       "Scio! MT hanc tibi dabo.\n"
7:       "Utarisne ut tibi propriam facias cellam?$"
10:     "Fac invenias arborem magnam, quae quasi\n"
11:     "vites demissura videtur.\p"
12:     "Utere VI LATENTE ex adverso arboris.\n"
13:     "Aliquae vites certo liberatae erunt ac\l"
14:     "decidunt, ut arborem scandere possis.\p"
15:     "Spatii satis invenies ad res tuas\n"
16:     "dilectas deponendas.\p"
17:     "Erit tibi proprium conclave occultum…\n"
18:     "SUFFUGIUM SECRETUM!\p"
19:     "Fac tibi quoque unam paras.\p"
20:     "Et res alia, nec semper tibi SUFFUGIUM\n"
21:     "SECRETUM in arbore faciendum est.\p"
22:     "Conare VI LATENTE in muros lapideos\n"
23:     "uti, qui parvas habent incisuras.\p"
24:     "Ego quoque alios locos quaesiturus sum.\n"
25:     "Bene, vale!$"
28:     "Oh, non vis hanc?\n"
29:     "Si sententiam tuam mutabis, dices mihi?$"
32:     "Oh, tibi pro hoc non est locus.\p"
33:     "Ego curabo, itaque redi huc alio\n"
34:     "tempore, bene?$"
