37:     "Baccae Programmatis Renovatio"
38:     "Carb./Sapp."
39:     "Smaragdus"
40:     "Baccae Programma in tuo POKéMON\n"
41:     "Carb./Sapp. Game Pak renovabitur.\n"
42:     "{COLOR RED}{SHADOW LIGHT_RED}Bulla A preme."
43:     "Proba, quaeso, an conexio systematis\n"
44:     "tui Game Boy Advance huic adaequat.\n"
45:     "{COLOR RED}{SHADOW LIGHT_RED}ITA: Bulla A preme.\n"
46:     "NON: Energiam disiunge et conare iterum."
47:     "Energiam, quaeso, disiunge POKéMON\n"
48:     "Cabunculi/Sapphiri dum START atque\n"
49:     "SELECT simul premas. Tunc, cura ut\n"
50:     "imago supera appareat."
51:     "Transmittens. Mane quaeso.\n"
52:     "{COLOR RED}{SHADOW LIGHT_RED}Noli, quaeso, energiam disiungere nec\n"
53:     "solve Game Boy Advance Ludi\nLink Restem."
54:     "Quaeso sequere praescripta in POKéMON\n"
55:     "Carbunculi/Sapphiri quadro."
56:     "Transmissionis defectus.\n"
57:     "{COLOR RED}{SHADOW LIGHT_RED}Quaeso conare iterum."
