1:       "2003 REGIONIS LUDI"
2:       "CAMPIONIS VITTA"
3:       "2003 NATIONIS LUDI"
4:       "2003 GLOBI SCYPHUS"
5:       "Sequentis VITTA"
6:       "Semifinalistae VITTA"
7:       "2004 REGIONIS LUDI"
8:       "2004 NATIONIS LUDI"
9:       "2004 GLOBI CUP"
10:     "2005 REGIONIS LUDI"
11:     "2005 NATIONIS LUDI"
12:     "2005 GLOBI SCYPHUS"
13:     "POKéMON CERTAMINUM SCYPHUS"
14:     "Participationis VITTA"
15:     "LIGA POKéMON"
16:     "ADVANCE SCYPHUS"
17:     "POKéMON Spectaculum"
18:     "Participationis VITTA"
19:     "POKéMON Conventus"
20:     "POKéMON Festum"
21:     "Angustias-transientis"
22:     "Commemorativa VITTA"
23:     "VITTA tributa pro"
24:     "dissolutione omnium probationum."
25:     "100 sequentibus Victoriis"
26:     "TENEBRARUM TURRIS Completione"
27:     "RUBRI TURRIS Completione"
28:     "FERRO ATRO TURRIS Completione"
29:     "FINALIS TURRIS Completione"
30:     "Historiam-facientis"
31:     "POKéMON CENTRUM TOKYO"
32:     "POKéMON CENTRUM OSAKA"
33:     "POKéMON CENTRUM NAGOYA"
34:     "POKéMON CENTRUM NY"
35:     "Feriarum Aestivarum VITTA"
36:     ""
37:     "Feriarum Hiemalium VITTA"
38:     "Feriarum Vernarum VITTA"
39:     "Sempervirentis VITTA"
40:     "Praecipuae Solemnitatis VITTA"
41:     "Enixi Operarii VITTA"
42:     "Copiae Amicorum VITTA"
43:     "Vi Impleta VITTA"
44:     "Commemorativa VITTA"
45:     "pro POKéMON dilecto."
46:     "VITTA quae monstrat"
47:     "dilectionem pro POKéMON."
