        "capiendorum POKéMO\n"
BALL = PILA

2: "?????"

MASTER BALL
6:   "PILA omnium optima\n"
7:   "quae POKéMON capit\n"
8:   "sine defectu."


ULTRA BALL
11:   "Proportionem habet\n"
12:   "altiorem capiendi\n"
13:   "quam SUPER PILA."

GREAT BALL
16:   "Proportionem habet\n"
17:   "altiorem capiendi\n"
18:   "quam POKé PILA."

POKE BALL
21:   "Instrumentum ad\n"
22:   "POKéMON silvestria\n"
23:   "capienda."

SAFARI BALL
26: "PILA specialis quae\n"
27: "tantum in AREA\n"
28: "SAFARIS uti potes."

NET BALL
31: "PILA efficacior in\n"
32: "POKéMON typi AQUAE\n"
33: "et CIMICIS."

DIVE BALL
36: "PILA efficacior in\n"
37: "POKéMON in profundo\n"
38: "maris."

LEVEL BALL
41: "PILA efficacior ad\n"
42: "capienda POKéMON\n"
43: "infirma."

REPEAT BALL
46: "PILA efficacior in\n"
47: "POKéMON quae iam\n"
48: "capta fuerunt."

TIMER BALL
51: "PILA efficacior si\n"
52: "certamen multas\n"
53: "vices moratur."

LUXURY BALL
56: "PILA commoda\n"
57: "quae POKéMON\n"
58: "amiciora facit."

PREMIER BALL
61: "PILA rara facta\n"
62: "in commemoratione\n"
63: "alicuius rei."

POTION
67:   "Restaurat SL\n"
68:   "unius POKéMON\n"
69:   "20 punctis."

72:   "Sanat POKéMON\n"
73:   "venenatum."

76:   "Sanat POKéMON\n"
77:   "adustum."

80:   "Regelat POKéMON\n"
81:   "gelatum."

84:   "Expergit POKéMON\n"
85:   "dormientem."

88:   "Sanat a POKéMON\n"
89:   "paralysim."

92:   "Restaurat plene\n"
93:   "SL et statum\n"
94:   "unius POKéMON."

97:   "Restaurat plene\n"
98:   "SL unius POKéMON."

101:  "Restaurat SL\n"
102:  "unius POKéMON\n"
103:  "200 punctis."

106:  "Restaurat SL\n"
107:  "unius POKéMON\n"
108:  "50 punctsi."

111:  "Sanat mala omnia\n"
112:  "status unius\n"
113:  "POKéMON."

116:  "Redanimat POKéMON\n"
117:  "casum ad dimidium\n"
118:  "SL eius."

      |===================|
121:  "Redanimat POKéMON\n"
122:  "casum, plene SL\n"
123:  "eius implens."

126:  "Aqua mineralis\n"
127:  "quae SL 50 punctis\n"
128:  "restaurat."

131:  "Mulsa carbonata\n"
132:  "quae SL 60 punctis\n"
133:  "restaurat."

136:  "Potio dulcissima\n"
137:  "quae SL 80 punctis\n"
138:  "restaurat."

141:  "Lac alibile quod\n"
142:  "SL 100 punctis\n"
143:  "restaurat."

146:  "Pulvis amarus\n"
147:  "qui SL 50 punctis\n"
148:  "restaurat."

151:  "Radix amara\n"
152:  "quae SL 200 punctis\n"
153:  "restaurat."

156:  "Pulvis amarus\n"
157:  "qui omnia mala\n"
158:  "status sanat."

      |===================|
161:  "Herba amarissima\n"
162:  "quae POKéMON casum\n"
163:  "redanimat."

166:  "PP motus selecti\n"
167:  "10 punctis\n"
168:  "restaurat."

171:  "PP unius motus\n"
172:  "selecti plene\n"
173:  "restaurat."

      |===================|
176:  "Restaurat PP omnium\n"
177:  "motuum 10 punctis."

180:  "Restaurat plene\n"
181:  "PP unius motus\n"
182:  "POKéMON."

185:  "Specialitas loci\n"
186:  "quae omnia mundat\n"
187:  "mala status."

190:  "Tibia vitrea quae\n"
191:  "expergit POKéMON\n"
192:  "dormientem."

195:  "Tibia vitrea quae\n"
196:  "liberat POKéMON\n"
197:  "ab conturbatione."

200:  "Tibia vitrea quae\n"
201:  "liberat POKéMON\n"
202:  "ab illecebra."

205:  "Tibia vitrea quae\n"
206:  "POKéMON arcet\n"
207:  "silvestria."

      |===================|
210:  "Tibia vitrea quae\n"
211:  "POKéMON inescat\n"
      "silvestres." !!!!!!!!!! have to add manually!!!!!!

214:  "Succus 100% purus\n"
215:  "qui SL restaurat\n"
216:  "20 punctis."

219:  "Redanimat plene\n"
220:  "et restaurat omnia\n"
221:  "POKéMON casa."

225:  "Sal extractus ab\n"
226:  "profunditate abyssi\n"
227:  "SPELUNCAE VADI."

230:  "Concha invenita in\n"
231:  "profunditate abyssi\n"
232:  "SPELUNCAE VADI."

235:  "Testa facta ex\n"
236:  "re antiqua. Potest\n"
237:  "vili vendi."

240:  "Testa facta ex\n"
241:  "re antiqua. Potest\n"
242:  "vili vendi."

245:  "Testa facta ex\n"
246:  "re antiqua. Potest\n"
247:  "vili vendi."

250:  "Testa facta ex\n"
251:  "re antiqua. Potest\n"
252:  "vili vendi."

256:  "Auget SL naturalem\n"
257:  "unius POKéMON."

      |===================|
260:  "Auget IMPETUM\n"
261:  "naturalem unius\n"
262:  "POKéMON."

265:  "Auget DEFENSIONEM\n"
266:  "naturalem unius\n"
267:  "POKéMON."
      |===================|
270:  "Auget CELERITATEM\n"
271:  "naturalem unius\n"
272:  "POKéMON."

275:  "Auget IMP SP.\n"
276:  "naturalem unius\n"
277:  "POKéMON."

280:  "Auget gradum\n"
281:  "unius POKéMON\n"
282:  "uno."

285:  "Auget tectum PP\n"
286:  "unius motus\n"
287:  "selecti."

290:  "Auget DEF SP.\n"
291:  "naturalem unius\n"
292:  "POKéMON."

295:  "Auget PP unius\n"
296:  "motus ad maxima\n"
297:  "puncta eius."

      |===================|
301:  "Certamine prohibet\n"
302:  "deminutionem\n"
303:  "staterarum."

306:  "Auget rationem\n"
307:  "ictuum gravium unum\n"
308:  "certamen."

311:  "Auget stateram\n"
312:  "IMPETI unum\n"
313:  "certamen."

      |===================|
316:  "Auget stateram\n"
317:  "DEFENSIONIS\n"
318:  "unum certamen."

321:  "Auget stateram\n"
322:  "CELERITATIS\n"
323:  "unum certamen."

326:  "Auget accurationem\n"
327:  "motuum offensorum\n"
328:  "unum certamen."

331:  "Auget stateram\n"
332:  "IMP SP. unum\n"
333:  "certamen."

336:  "Utere ad fugiendum\n"
337:  "ex quolibet certamine\n"
338:  "cum POKéMON."

341:  "Utere ad fugiendum\n"
342:  "ex quolibet certamine\n"
343:  "cum POKéMON."
      |===================|
347:  "Repellit POKéMON\n"
348:  "silvestria infirma\n"
349:  "200 gradibus."

352:  "Repellit POKéMON\n"
353:  "silvestria infirma\n"
354:  "250 gradibus."

ESCAPE ROPE
357: "Utere ad effugiendum\n"
358: "continue ex caverna\n"
359: "aut crypta."

362: "Repellit POKéMON\n"
363: "silvestria infirma\n"
364: "100 gradibus."

X STONES
368: "Genera quaedam\n"
369: "POKéMON evolvere\n"
370: "coget."

373: "Genera quaedam\n"
374: "POKéMON evolvere\n"
375: "coget."

378: "Genera quaedam\n"
379: "POKéMON evolvere\n"
380: "coget."

383: "Genera quaedam\n"
384: "POKéMON evolvere\n"
385: "coget."

388: "Genera quaedam\n"
389: "POKéMON evolvere\n"
390: "coget."

393: "Genera quaedam\n"
394: "POKéMON evolvere\n"
395: "coget."

TINYMUSHROOM
399: "Fungus simplex\n"
400: "qui pretio vili\n"
401: "vendatur."

404: "Fungus rarus\n"
405: "qui magno pretio\n"
406: "vendatur."

409: "Margarita iucunda\n"
410: "quae pretio parvo\n"
411: "vendatur."

414: "Margarita magna et\n"
415: "dulcis quae magno\n"
416: "pretio vendatur."

419: "Arena pulchra rubra.\n"
420: "Potest pretio magno\n"
421: "vendi."

424: "Testa gemmae rubrae.\n"
425: "Pretio magno vendi\n"
426: "potest."

NUGGET
429: "Globulus ex auro\n"
430: "puro. Venditur\n"
431: "magno pretio."

HEART SCALE
434: "Squama amabilis.\n"
435: "Concupiscitur ab\n"
436: "collectoribus."

440: "A ZIGZAGOON-print\n"
441: "MAIL to be held by\n"
442: "a POKéMON.");

445: "A WINGULL-print\n"
446: "MAIL to be held by\n"
447: "a POKéMON.");

450: "A PIKACHU-print\n"
451: "MAIL to be held by\n"
452: "a POKéMON.");

455: "A MAGNEMITE-print\n"
456: "MAIL to be held by\n"
457: "a POKéMON.");

460: "A SLAKOTH-print\n"
461: "MAIL to be held by\n"
462: "a POKéMON.");

465: "A WAILMER-print\n"
466: "MAIL to be held by\n"
467: "a POKéMON.");

470: "MAIL featuring a\n"
471: "sketch of the\n"
472: "holding POKéMON.");

475: "A DUSKULL-print\n"
476: "MAIL to be held by\n"
477: "a POKéMON.");

480: "A BELLOSSOM-print\n"
481: "MAIL to be held by\n"
482: "a POKéMON.");

485: "MAIL featuring a\n"
486: "sketch of the\n"
487: "holding POKéMON.");

490: "A gorgeous-print\n"
491: "MAIL to be held\n"
492: "by a POKéMON.");

495: "MAIL featuring the\n"
496: "drawings of three\n"
497: "POKéMON.");

501: "Res tenenda, quae\n"
502: "paralysim sanat\n"
503: "in certamine."

506: "Res tenenda, quae\n"
507: "POKéMON exsuscitat\n"
508: "in certamine."

511: "Res tenenda, quae\n"
512: "veneficium sanat\n"
513: "in certamine."

516: "Res tenenda, quae\n"
517: "adustionem sanat\n"
518: "in certamine."

521: "Res tenenda, quae\n"
522: "POKéMON regelat\n"
523: "in certamine."

526: "Res tenenda, quae\n"
527: "10 PP in certamine\n"
528: "restaurat."

531: "Res tenenda, quae\n"
532: "SL 10 pinctis in\n"
533: "certamine sanat."

536: "Res tenenda, quae\n"
537: "confusionem sanat\n"
538: "in certamine."

541: "Res tenenda, quae\n"
542: "malum quidlibet\n"
543: "status sanat."

546: "Res tenenda, quae\n"
547: "SL 30 punctis in\n"
548: "certamine sanat."

551: "Res tenenda, quae\n"
552: "SL restaurat sed\n"
553: "saepe stupefacit."

556: "Res tenenda, quae\n"
557: "SL restaurat sed\n"
558: "saepe stupefacit."

561: "Res tenenda, quae\n"
562: "SL restaurat sed\n"
563: "saepe stupefacit."

566: "Res tenenda, quae\n"
567: "SL restaurat sed\n"
568: "saepe stupefacit."

571: "Res tenenda, quae\n"
572: "SL restaurat sed\n"
573: "saepe stupefacit."

576: "{POKEBLOCK} ingredient.\n"
577: "Plant in loamy soil\n"
578: "to grow RAZZ."

581: "{POKEBLOCK} ingredient.\n"
582: "Plant in loamy soil\n"
583: "to grow BLUK."

586: "{POKEBLOCK} ingredient.\n"
587: "Plant in loamy soil\n"
588: "to grow NANAB.");

591: "{POKEBLOCK} ingredient.\n"
592: "Plant in loamy soil\n"
593: "to grow WEPEAR.");

596: "{POKEBLOCK} ingredient.\n"
597: "Plant in loamy soil\n"
598: "to grow PINAP.");

601: "Makes a POKéMON\n"
602: "friendly but lowers\n"
603: "base HP.");

606: "Makes a POKéMON\n"
607: "friendly but lowers\n"
608: "base ATTACK.");

611: "Makes a POKéMON\n"
612: "friendly but lowers\n"
613: "base DEFENSE.");

616: "Makes a POKéMON\n"
617: "friendly but lowers\n"
618: "base SP. ATK.");

621: "Makes a POKéMON\n"
622: "friendly but lowers\n"
623: "base SP. DEF.");

626: "Makes a POKéMON\n"
627: "friendly but lowers\n"
628: "base SPEED.");

BERRIES
631: "{POKEBLOCK} ingredient.\n"
632: "Plant in loamy soil\n"
633: "to grow CORNN.");

636: "{POKEBLOCK} ingredient.\n"
637: "Plant in loamy soil\n"
638: "to grow MAGOST.");

641: "{POKEBLOCK} ingredient.\n"
642: "Plant in loamy soil\n"
643: "to grow RABUTA.");

646: "{POKEBLOCK} ingredient.\n"
647: "Plant in loamy soil\n"
648: "to grow NOMEL.");

651: "{POKEBLOCK} ingredient.\n"
652: "Plant in loamy soil\n"
653: "to grow SPELON.");

656: "{POKEBLOCK} ingredient.\n"
657: "Plant in loamy soil\n"
658: "to grow PAMTRE.");

661: "{POKEBLOCK} ingredient.\n"
662: "Plant in loamy soil\n"
663: "to grow WATMEL.");

666: "{POKEBLOCK} ingredient.\n"
667: "Plant in loamy soil\n"
668: "to grow DURIN.");

671: "{POKEBLOCK} ingredient.\n"
672: "Plant in loamy soil\n"
673: "to grow BELUE.");

676: "A hold item that\n"
677: "raises ATTACK in\n"
678: "a pinch."

681: "A hold item that\n"
682: "raises DEFENSE in\n"
683: "a pinch."

686: "A hold item that\n"
687: "raises SPEED in\n"
688: "a pinch."

691: "A hold item that\n"
692: "raises SP. ATK in\n"
693: "a pinch."

696: "A hold item that\n"
697: "raises SP. DEF in\n"
698: "a pinch."

701: "A hold item that\n"
702: "ups the critical-\n"
703: "hit rate in a pinch."

706: "A hold item that\n"
707: "sharply boosts a\n"
708: "stat in a pinch."

711: "{POKEBLOCK} ingredient.\n"
712: "Plant in loamy soil\n"
713: "to grow a mystery."


BRIGHT POWDER
717: "Res tenenda, quae\n"
718: "fulgorem emittit ut\n"
719: "accurat. reducat."

722: "Res tenenda, quae\n"
723: "stateram quamvis\n"
724: "minutam restaurat."

MACHO BRACE
727:  "Res tenenda, quae\n"
728:  "auctum prodest, sed\n"
729:  "CELERITATEM minuit."

      |===================|
732:  "Res tenenda, quae\n"
733:  "puncta PER. ab\n"
734:  "certamine meretur."

737:  "Res tenenda, quae\n"
738:  "interdum permittit\n"
739:  "primum illidere."

742: "Res tenenda, quae\n"
743: "animos sedat et\n"
744: "amicitiam fovet."

747: "Res tenenda, quae\n"
748: "POKéMON liberat ex\n"
749: "amoris amentia."

