1:       "CAMPIONEM vincentis, FAMAE"
2:       "AEDIS Membri VITTA"
3:       "ACRITATIS AGON"
4:       "PULCHRITUDINIS AGON"
5:       "DULCITUDINIS AGON"
6:       "SOLLERTIAE AGON"
7:       "FORTITUDINIS AGON"
8:       "Normalis Ordinis victor!"
9:       "Superi Ordinis victor!"
10:     "Ultri Ordinis victor!"
11:     "Magistrum Ordinis victor!"
12:     "Pro superando Gr50"
13:     "in TURRI MARTIA."
14:     "Pro superando Gradu Aperto"
15:     "in TURRI MARTIA."
16:     "VITTA pro eo quod electum sit"
17:     "excellens exemplum deliniendi."
18:     "VITTA praemium tributa pro"
19:     "opera dura facta."
